metricId,old_label,label,shortLabel,unit,unit_basis,flags
workforce_productivity,Workforce Productivity,Revenue per Labor Hour,Revenue / Labor Hour,currency,formula,label: formula is revenue / labor hours
working_capital,Working Capital,Working Capital,Working Capital,currency,formula,
avg_tenure,Avg Tenure (yrs),Average Employee Tenure,Avg Tenure,years,description,
compensation_ratio,Compensation Ratio,Compensation Ratio,Compa-Ratio,ratio,formula,"unit: salary / market midpoint, around 1.0"
complaint_resolution_rate,Complaint Resolution %,Complaint Resolution Rate,Complaint Resolution %,rate,formula,
cost_per_hire,Cost Per Hire,Cost per Hire,Cost per Hire,currency,formula,
course_completion_rate,Course Completion %,Course Completion Rate,Course Completion %,rate,formula,
diversity_hire_rate,Diversity Hire %,Diversity Hire Rate,Diversity Hire %,rate,formula,
employee_engagement_score,Employee Engagement Score,Employee Engagement Score,Engagement Score,score,description,
headcount_cost,Headcount Cost,Headcount Cost,Headcount Cost,currency,formula,
headcount_vs_budget,HC vs Budget,Headcount Variance to Budget,HC vs Budget,count,formula,
inventory_turnover,Inventory Turnover,Inventory Turnover,Inventory Turns,ratio,formula,
onboarding_completion_rate,Onboarding Completion,User Onboarding Completion Rate,Onboarding Completion %,rate,formula,
pct_reps_at_quota,% Reps at Quota,Share of Reps at Quota,% Reps at Quota,rate,formula,
qbr_completion_rate,QBR Completion %,Quarterly Business Review Completion Rate,QBR Completion %,rate,formula,
rd_headcount_pct,R&D % of Headcount,R&D Share of Headcount,R&D % of Headcount,rate,formula,
regrettable_attrition,Regrettable Attrition %,Regrettable Attrition Share,Regrettable Attrition %,rate,formula,
sla_compliance_rate,SLA Compliance Rate,SLA Compliance Rate,SLA Compliance %,rate,formula,
span_of_control,Span of Control,Span of Control,Span of Control,ratio,formula,
time_to_hire,Time to Hire,Time to Hire,Time to Hire,days,description,
vendor_compliance_rate,Vendor Compliance %,Vendor Compliance Rate,Vendor Compliance %,rate,formula,
voluntary_turnover,Voluntary Turnover,Voluntary Turnover Rate,Voluntary Turnover %,rate,formula,
bad_debt_rate,Bad Debt Rate,Bad Debt Rate,Bad Debt %,rate,formula,
cost_per_mql,Cost per MQL,Cost per Marketing Qualified Lead,Cost per MQL,currency,formula,
cost_per_sql,Cost per SQL,Cost per Sales Qualified Lead,Cost per SQL,currency,formula,
cpc,CPC,Cost per Click,CPC,currency,formula,
ctr,CTR,Click-Through Rate,CTR,rate,formula,
email_click_rate,Email Click Rate,Email Click Rate,Email Click %,rate,formula,
email_open_rate,Email Open Rate,Email Open Rate,Email Open %,rate,formula,
lead_time,Lead Time,Delivery Lead Time,Lead Time,days,formula,"unit: SQL averages datediff day, order to delivery"
lead_time_for_changes,Lead Time for Changes,Lead Time for Changes,Lead Time for Changes,hours,description,
lead_to_mql_rate,Lead → MQL %,Lead-to-Marketing Qualified Lead Rate,Lead to MQL %,rate,formula,
mql_to_sql_rate,MQL→SQL Rate,Marketing-to-Sales Qualified Lead Rate,MQL to SQL %,rate,formula,
organic_attribution_pct,Organic Attribution %,Organic Channel Revenue Share,Organic Attribution %,rate,formula,
roas,ROAS,Return on Ad Spend,ROAS,ratio,formula,"unit: revenue / spend multiple, e.g. 4.0x"
session_to_lead_rate,Session → Lead %,Session-to-Lead Conversion Rate,Session to Lead %,rate,formula,
social_engagement_rate,Social Engagement %,Social Engagement Rate,Social Engagement %,rate,formula,
sql,SQLs,Sales Qualified Leads,SQLs,count,formula,
supplier_lead_time,Supplier Lead Time,Supplier Lead Time,Supplier Lead Time,days,description,
top10_keyword_count,Top 10 Keywords,Keywords Ranking in the Top 10,Top 10 Keywords,count,formula,
webinar_attendance_rate,Webinar Attendance %,Webinar Attendance Rate,Webinar Attendance %,rate,formula,
cycle_time,Cycle Time,Cycle Time,Cycle Time,hours,description,
defect_rate,Defect Rate,Defect Rate,Defect %,rate,formula,
escalation_rate,Escalation Rate,Ticket Escalation Rate,Escalation %,rate,formula,
fill_rate,Fill Rate,Order Line Fill Rate,Fill Rate,rate,formula,
order_fulfillment_rate,Order Fulfillment %,Order Fulfillment Rate,Order Fulfillment %,rate,formula,
procurement_savings_rate,Procurement Savings Rate,Procurement Savings Rate,Procurement Savings %,rate,formula,
rcr_rate,Root Cause Resolution %,Root Cause Resolution Rate,RCR %,rate,formula,
return_rate,Return Rate,Return Rate,Return %,rate,formula,
safety_incident_rate,Safety Incident Rate,Safety Incident Rate,Safety Incident Rate,ratio,formula,"unit: incidents per 200,000 hours (per 100 FTE), not 0-1; no fitting unit"
seat_fill_rate,Seat Fill Rate,Seat Fill Rate,Seat Fill %,rate,formula,
sla_breach_rate,SLA Breach %,SLA Breach Rate,SLA Breach %,rate,formula,
stockout_rate,Stockout Rate,Stockout Rate,Stockout %,rate,formula,"known issue: description is orders, formula is SKUs"
support_cost_per_ticket,Support Cost / Ticket,Support Cost per Ticket,Support Cost / Ticket,currency,formula,
throughput,Throughput,Production Throughput,Throughput,count,formula,
ticket_backlog,Ticket Backlog,Ticket Backlog,Ticket Backlog,count,formula,
ticket_resolution_rate,Ticket Resolution Rate,Ticket Resolution Rate Within SLA,Ticket Resolution %,rate,formula,
tickets_per_agent,Tickets / Agent / Day,Tickets Resolved per Agent per Day,Tickets / Agent / Day,ratio,formula,
tickets_per_customer,Tickets / Customer,Tickets per Customer,Tickets / Customer,ratio,formula,
vendor_scorecard_rating,Vendor Scorecard Rating,Vendor Scorecard Rating,Vendor Scorecard,score,description,
warehouse_utilization,Warehouse Utilization %,Warehouse Utilization Rate,Warehouse Utilization %,rate,formula,
arr_growth_rate,ARR Growth %,ARR Growth Rate,ARR Growth %,rate,formula,
arr_per_rep,ARR / Sales Rep,ARR per Sales Rep,ARR / Sales Rep,currency,formula,
billings,Billings,Billings,Billings,currency,formula,
bookings,Bookings,Bookings,Bookings,currency,formula,
capex_pct_revenue,CapEx % Revenue,Capital Expenditures Share of Revenue,CapEx % Revenue,rate,formula,
churn_prediction_score,Churn Prediction Score,Churn Prediction Score,Churn Prediction,rate,formula,"unit: average churn probability 0-1, so rate rather than score"
cohort_revenue_retention,Cohort Revenue Retention,Cohort Revenue Retention,Cohort Rev Retention,rate,formula,
customer_churn_rate,Customer Churn %,Customer Churn Rate,Customer Churn %,rate,formula,
customer_concentration_risk,Customer Concentration,Top 10 Customer ARR Share,Customer Concentration,rate,formula,
deferred_revenue,Deferred Revenue,Deferred Revenue,Deferred Revenue,currency,formula,
employees_per_1m_arr,Employees / $1M ARR,Employees per Million ARR,Employees / $1M ARR,ratio,formula,
expansion_arr,Expansion ARR,Expansion ARR,Expansion ARR,currency,formula,
gna_pct_revenue,G&A % Revenue,G&A Share of Revenue,G&A % Revenue,rate,formula,
grr,GRR,Gross Revenue Retention,GRR,rate,formula,
hr_cost_pct_revenue,HR Cost % of Revenue,HR Cost Share of Revenue,HR Cost % Revenue,rate,formula,acronym: HR added to the allowlist (it is the domain's name)
iap_revenue,IAP Revenue,In-App Purchase Revenue,IAP Revenue,currency,formula,
license_revenue,License Revenue,License Revenue,License Revenue,currency,formula,
market_penetration_rate,Market Penetration Rate,Market Penetration Rate,Market Penetration %,rate,formula,
mrr,MRR,MRR,MRR,currency,formula,
mrr_churn_rate,MRR Churn %,MRR Churn Rate,MRR Churn %,rate,formula,
net_mrr_growth,Net MRR Growth,Net New MRR,Net MRR Growth,currency,formula,"label: formula is net new ARR / 12, an amount not a growth rate"
net_revenue,Net Revenue,Net Revenue,Net Revenue,currency,formula,
new_arr,New ARR,New ARR,New ARR,currency,formula,
nrr,NRR,Net Revenue Retention,NRR,rate,formula,
partner_revenue,Partner Revenue,Partner Revenue,Partner Revenue,currency,formula,
partner_revenue_pct,Partner Revenue %,Partner Revenue Share,Partner Revenue %,rate,formula,
product_churn_rate,Product Churn,Active User Churn Rate,Product Churn %,rate,formula,
rd_as_pct_revenue,R&D % of Revenue,R&D Share of Revenue,R&D % of Revenue,rate,formula,
revenue,Revenue,Revenue,Revenue,currency,formula,
revenue_growth_rate,Revenue Growth Rate,Revenue Growth Rate,Revenue Growth %,rate,formula,"known issue: month over month, description says YoY or QoQ"
revenue_per_account,Revenue / Account,Revenue per Account,Revenue / Account,currency,formula,
revenue_per_employee,Revenue per Employee,Revenue per Employee,Revenue / Employee,currency,formula,
revenue_vs_py,Revenue vs PY,Year-over-Year Revenue Growth,Revenue vs PY,rate,formula,
revenue_ytd,Revenue YTD,Year-to-Date Revenue,Revenue YTD,currency,formula,
saas_quick_ratio,SaaS Quick Ratio,SaaS Quick Ratio,SaaS Quick Ratio,ratio,formula,
services_revenue,Services Revenue,Services Revenue,Services Revenue,currency,formula,
subscription_revenue,Subscription Revenue,Subscription Revenue,Subscription Revenue,currency,formula,
api_latency_p95,API Latency p95,95th Percentile API Latency,API Latency p95,milliseconds,formula,unit: milliseconds is not in the proposed enum; add it
bug_escape_rate,Bug Escape Rate,Bug Escape Rate,Bug Escape %,rate,formula,
csat,CSAT,CSAT Score,CSAT,score,description,
customer_retention_rate,Customer Retention %,Customer Retention Rate,Customer Retention %,rate,formula,
d30_retention,D30 Retention,Day-30 User Retention,D30 Retention,rate,formula,
d7_retention,D7 Retention,Day-7 User Retention,D7 Retention,rate,formula,
dau,DAU,Daily Active Users,DAU,count,formula,
dau_mau_ratio,DAU/MAU,Daily-to-Monthly Active User Ratio,DAU/MAU,rate,formula,"unit: fraction 0-1, so rate despite 'Ratio' in the name"
deployment_frequency,Deployment Frequency,Deployment Frequency,Deploy Frequency,count,formula,
enps,eNPS,Employee Net Promoter Score,eNPS,score,formula,
feature_adoption_rate,Feature Adoption Rate,Feature Adoption Rate,Feature Adoption %,rate,formula,
mau,MAU,Monthly Active Users,MAU,count,formula,
uptime,Uptime %,Service Uptime,Uptime %,rate,formula,
wau,WAU,Weekly Active Users,WAU,count,formula,
shrinkage_rate,Shrinkage Rate,Inventory Shrinkage Rate,Shrinkage %,rate,formula,
adm,ADM,Average Daily Membership,ADM,count,formula,
avg_teacher_experience,Avg Teacher Exp (yrs),Average Teacher Experience,Avg Teacher Exp,years,description,
ell_pct,ELL Students %,ELL Student Share,ELL Students %,rate,formula,
frl_pct,FRL %,Free or Reduced-Price Lunch Share,FRL %,rate,formula,
iep_pct,IEP Students %,IEP Student Share,IEP Students %,rate,formula,
accounts_payable,Accounts Payable,Accounts Payable,Accounts Payable,currency,formula,
accounts_receivable,Accounts Receivable,Accounts Receivable,Accounts Receivable,currency,formula,
annual_budget,Annual Budget,Annual Budget,Annual Budget,currency,formula,
app_downloads,App Downloads,App Downloads,App Downloads,count,formula,
backlink_count,Referring Domains,Referring Domains,Referring Domains,count,formula,
backlinks_count,Backlinks,Backlinks,Backlinks,count,formula,
benefits_utilization,Benefits Utilization %,Benefits Utilization Rate,Benefits Utilization %,rate,formula,
cash_and_equivalents,Cash & Equivalents,Cash and Cash Equivalents,Cash & Equivalents,currency,formula,
code_coverage,Code Coverage %,Code Coverage,Code Coverage %,rate,formula,
college_enrollment,College Enrollment Rate,College Enrollment Rate Within 12 Months,College Enroll 12mo %,rate,formula,id reads as a count but the formula is a rate; label disambiguates from college_enrollment_rate
contracted_unbilled,Contracted Unbilled,Contracted Unbilled ARR,Contracted Unbilled,currency,formula,
customer_count,Customer Count,Active Customers,Customer Count,count,formula,
da,D&A,Depreciation and Amortization,D&A,currency,formula,
demo_requests,Demo Requests,Demo Requests,Demo Requests,count,formula,
discount_rate,Discount Rate,Discount Rate,Discount %,rate,formula,
ebitda_bridge_price,EBITDA Bridge: Price,EBITDA Bridge Price Effect,EBITDA Bridge: Price,currency,formula,
ebitda_bridge_volume,EBITDA Bridge: Volume,EBITDA Bridge Volume Effect,EBITDA Bridge: Volume,currency,formula,
energy_cost_per_unit,Energy Cost per Unit,Energy Cost per Unit,Energy Cost per Unit,currency,formula,
event_attendees,Event Attendees,Event Attendees,Event Attendees,count,formula,
expulsion_rate,Expulsion Rate,Expulsion Rate,Expulsion %,rate,formula,
extracurricular_rate,Extracurricular %,Extracurricular Participation Rate,Extracurricular %,rate,formula,
family_engagement_rate,Family Engagement %,Family Engagement Rate,Family Engagement %,rate,formula,
feature_request_volume,Feature Request Volume,Feature Requests,Feature Requests,count,formula,
funnel_dropoff,Funnel Drop-off,Funnel Drop-Off Rate,Funnel Drop-off %,rate,formula,
impressions,Impressions,Ad Impressions,Impressions,count,formula,
marketplace_buyers,Active Buyers,Active Marketplace Buyers,Active Buyers,count,formula,
marketplace_sellers,Active Sellers,Active Marketplace Sellers,Active Sellers,count,formula,
monthly_new_customers,Monthly New Customers,New Customers,New Customers,count,formula,"label: dropped 'Monthly' (grain, not the quantity)"
on_time_lesson_delivery,On-Time Lesson Delivery,On-Time Lesson Delivery Rate,On-Time Lessons %,rate,formula,
open_requisitions,Open Requisitions,Open Requisitions,Open Reqs,count,formula,
oss_stars,OSS Stars,Open Source GitHub Stars,OSS Stars,count,formula,
